0,1,2,3,4,5,6,7,8,9,10,11,12
-279.12115,100.18033,4.50656,28.21483,-6.9221206,16.065756,-3.58255,14.0279875,-8.128473,4.6318307,-0.29993138,-3.1846323,1.9912007
-281.24063,98.85063,1.402529,27.236189,-5.7104435,19.225216,-3.9855137,14.904665,-2.7043695,9.9652405,7.893673,1.6848776,1.1485829
-282.89297,98.63339,-1.978961,22.066725,-8.854954,19.08567,-0.3921157,15.361514,-2.20791,8.11263,4.016568,0.7919899,0.7912693
-275.7257,103.481766,2.2157698,31.284481,-2.6002433,22.834995,2.1498857,11.72048,-3.3752284,4.2852583,-4.009392,-0.027614448,0.44823056
-282.7178,100.927666,10.273868,29.914848,-7.6254716,17.88927,-5.823832,12.989184,-7.542218,-2.7493463,-5.199291,-2.4310424,-7.4358883
-278.65897,101.15833,8.746493,24.514305,-10.584616,20.461708,-1.3054757,11.006932,-6.272514,8.161951,-3.386112,-0.3001417,-1.121779
-280.51236,102.80945,5.512046,25.383429,-9.441168,15.55124,-8.553762,10.654584,-0.6934639,11.70412,1.2931745,-3.899608,-2.901296
-282.5663,99.74477,9.481651,31.19328,-1.9852521,21.718876,-4.84398,15.680374,1.7288296,8.934809,-2.7291622,-4.1574945,-4.2065506
-279.05682,104.5475,7.2439957,27.82916,-3.8668125,24.460514,-6.432522,10.878864,-1.6565273,0.41846752,-3.3036437,-3.8151038,-4.337949
-279.06146,103.57391,1.7812066,24.832052,-4.704148,20.896631,2.4687195,16.115137,-4.066757,3.5136037,-3.973073,-1.5089809,0.015520692
-288.0265,95.6013,6.4593973,34.778847,-1.0267212,22.657513,-3.8933458,8.420399,-7.9312897,1.8606071,0.28572595,1.4447305,2.557149
-283.35553,91.65321,5.298459,26.473158,-11.509391,22.643745,-8.854446,9.64762,-7.308673,-2.7324958,-1.7540545,-0.58966684,-3.213964
-279.7811,98.82123,2.919794,28.671282,-6.1129065,17.026659,-5.285771,10.27129,-12.219667,1.4574747,-0.16827369,-1.0629214,-2.689434
-277.29208,94.67729,0.8440453,33.421547,-3.3849568,22.504307,-0.17892599,15.107542,-4.912423,4.5876765,1.0913417,-0.6412738,2.4350905
-278.49615,104.30489,11.572916,30.704136,-4.693221,25.205486,3.7493927,19.13902,-5.0612187,1.387699,-5.914464,-5.8888435,-4.399899
-284.37668,101.11464,8.888586,30.055445,-4.904726,23.586231,-4.2774363,10.846074,-3.1460848,-0.86323977,-0.7222064,2.49133,-0.16664767
-282.21237,99.28099,4.708019,24.276167,-12.533026,19.186043,-2.8239946,9.118322,-6.993941,3.2381809,1.781717,0.8998773,-1.7532053
-283.94562,96.104065,4.700157,26.308086,-7.333865,20.371214,-0.7195749,18.205446,0.10366055,6.0632696,-4.7970634,-3.123536,-3.8892884
-285.73886,98.00639,4.995634,28.222172,-5.3178835,24.66636,-0.38901544,13.709032,-2.3353875,1.6166756,-4.6026096,-6.3702755,-1.689888
-288.45795,99.18749,10.262152,31.300934,-11.615396,16.622559,1.812078,15.651323,-2.9344368,2.061544,-1.2155373,-4.045962,-4.2406573
-278.66037,96.45416,1.8687963,25.756365,-7.948539,17.422882,0.61016893,21.349072,-1.4502991,8.405928,-0.7356262,-2.5771928,-4.457113
-279.16568,101.251625,6.3291106,27.296497,-8.064415,18.957287,-4.856208,13.019718,-0.23167771,5.044887,-9.162237,-10.854025,-7.4893
-286.05612,97.14442,5.0285206,31.053068,-3.351012,16.30742,-11.772834,2.808325,-7.353715,6.7202005,-3.115223,-5.0135674,-0.84259295
-284.19705,96.8909,0.41897,22.615551,-11.58935,12.791054,-8.805611,7.6014104,-6.3905354,8.242206,2.0680647,-1.9590192,-3.5493267
-284.69455,98.222885,2.3148575,21.60614,-15.341982,9.920905,-7.9201045,10.7136965,-8.668833,-0.80935425,-6.432477,-6.185833,-3.2645283
-291.18298,97.75369,9.968272,29.512878,-2.4213758,16.209532,-5.3178606,18.392792,-8.565048,-1.8580589,-1.4992396,-3.4039712,-3.9288523
-284.81696,98.76897,7.2075005,21.819317,-10.816075,18.763527,-6.3657637,13.226512,-2.6759627,3.5945768,-2.3912885,1.5192502,-2.0180645
-284.73315,102.33377,7.4475226,30.69883,-3.0900564,21.086916,-3.5465147,7.34427,-4.780304,8.374521,-2.6404405,-6.0174704,-2.056794
-272.3143,99.50531,6.1520557,34.50152,-5.706258,23.017323,0.9064769,13.494282,-5.802009,2.0113482,-6.561997,-2.5667386,-5.4242964
-283.09683,98.431145,-0.015745103,24.131512,-13.62268,16.002956,0.83941096,11.11949,-4.694828,7.572156,-1.7042892,-6.2083178,3.232737
-274.01413,100.99989,13.25899,30.617214,-7.932769,22.85288,-4.989832,17.478502,-8.500759,-1.6679075,-5.891976,-3.5900745,-1.0490042
-280.38617,103.10023,7.2450047,28.818493,-2.9581435,22.229458,-5.367948,12.755978,-5.62564,5.591707,-1.4958476,-6.236326,3.5022202
-274.85095,104.2433,7.057418,29.137833,-0.75418663,19.304111,-7.426252,10.345843,-9.565186,5.176679,-2.2835,0.8547349,0.896046
-282.56772,95.16585,2.734665,20.356117,-12.428184,15.025225,-7.6753974,18.22029,-3.7693515,3.3669999,-4.6316257,-3.8976152,-0.35385817
-276.67413,97.32001,9.292252,27.327711,-6.0010805,22.797382,-8.16725,16.105976,-3.5459871,10.47666,-0.89985335,1.8262863,4.530715
-281.99313,100.520874,4.8285074,27.249508,-2.495553,26.972097,0.49779546,18.096802,1.0514925,3.077976,-2.1592767,0.5325457,1.7383521
-283.3779,96.25972,4.9086657,24.885063,-4.3327856,25.457268,-3.0009406,19.165016,-4.1706758,1.2390597,-0.8955731,-2.6916468,0.22065753
-281.5163,101.06911,10.846081,30.294445,-7.141281,21.773811,-2.2615705,13.477782,-9.5858,-1.1497338,-1.1831408,-1.1008122,-0.2991426
-278.6606,102.91135,8.757774,29.90469,-2.0930183,24.227676,-4.753845,11.914887,-7.1520944,-1.5199568,-4.905396,-3.8480432,-3.759495
-278.63745,104.08101,8.255401,28.6826,-2.4944136,20.188007,0.18711448,16.252094,-5.300682,5.1991863,-3.6117866,-0.95803434,-1.6040008
-276.56448,104.30716,8.752261,28.4215,-9.029329,21.577276,3.5024538,15.177717,-4.405225,3.3951664,-2.7296984,-0.9383414,-2.5747175
-289.43726,94.828094,5.664295,24.284203,-9.4542675,18.467113,-4.217613,12.155904,-1.1797348,7.650901,-2.8392081,-0.56191003,-0.39007688
-280.25116,102.227425,7.248361,26.185608,-5.3496885,22.844318,-1.4595034,10.482273,-7.055154,6.037898,-4.5624247,-7.4849844,-7.201101
-284.33517,97.974075,3.1792018,24.081299,-8.405974,19.152977,-6.404181,11.729841,-3.5810492,3.2567847,-3.6462138,-6.985755,-6.9230447
-281.82492,99.32112,6.255779,32.36068,-3.7977004,14.6994095,-3.7912548,21.381596,-2.2297664,5.586293,2.2741013,0.028280362,-1.1479082
-279.8839,103.837204,7.048931,28.81074,-3.979413,22.730253,-1.3844674,13.309879,-1.9413066,9.05179,-0.646392,-4.36593,-1.5299083
-279.51962,103.652176,3.545315,24.979748,-7.686736,18.492191,-1.1977885,14.900359,-3.1828964,1.8459725,-3.6327443,-3.339394,-2.1970544
-270.8394,106.968765,6.0394983,26.701607,-5.4514294,20.297327,-7.359897,9.673394,-6.7286077,0.6238166,-7.3028946,-1.6942948,-1.8916013
-272.9627,98.04579,3.806445,33.922123,-7.872556,19.672754,-1.9459031,15.557851,-1.5420349,5.651416,-1.6599164,-0.46173352,2.0416043
-276.65884,105.049545,8.935434,27.006966,-10.401085,20.547668,2.7026126,17.515125,-5.283327,4.242008,-1.724823,-6.1989985,-2.2921011
-279.81317,106.6199,11.505039,26.615253,-7.188117,20.273619,-4.4812794,13.646467,-2.222837,8.43793,2.0244265,0.84583163,3.943764
-274.79053,105.17938,7.8246946,25.941465,-8.70635,18.559448,-6.002758,12.869851,-2.0003123,7.9367523,-5.507661,-5.2074428,-4.4294376
-279.53696,101.97569,0.25166416,24.485975,-8.157501,23.206398,0.40310907,12.35792,-0.003349781,2.8066165,-7.623539,-6.893673,-6.2304955
-279.1023,102.37442,6.7553434,32.330486,-5.3215003,12.484449,-6.271213,18.560192,-5.546502,-0.49139237,-3.757584,-5.386832,-1.0953195
-280.02026,93.3629,0.7956543,24.730145,-10.053459,17.272755,-9.103422,16.931381,1.3848562,9.125255,3.8610637,1.7893865,-0.6071647
-286.83643,94.82359,3.6272936,28.642174,-5.7837734,19.953112,-5.6456785,13.706937,-6.4367023,3.1286905,2.3552473,-4.5746136,0.30143586
-283.88107,102.31445,6.384991,31.692509,-4.23411,22.175365,2.0291927,15.765526,-3.1175666,-0.36749125,-3.1977232,-2.6426291,1.2161416
-282.33322,99.83435,6.5580587,26.61435,-6.3524365,16.218866,-8.251328,7.62278,-8.280667,7.8106947,-2.9580908,-6.312985,-4.8618994
-283.68533,97.34007,0.895294,25.027578,-6.820423,18.385305,-6.8034906,12.410928,0.00204885,1.379154,-8.558571,-3.99232,-0.23157263
-277.93198,98.13732,3.6680758,21.154291,-12.300594,17.673635,-4.9514866,15.88282,-4.9195232,6.20688,-3.2423384,-0.5946482,-1.645666
-282.39594,99.643524,11.439627,28.465296,-3.198462,25.921978,-2.0549,15.055944,-7.9566894,0.81754816,-5.133652,-2.9711998,-1.660296
-280.5128,101.81648,4.9354334,26.81453,-4.386026,22.720638,-3.0426276,15.61198,1.5245674,5.113229,-3.964225,-0.6807929,5.3931637
-281.389,98.188194,4.528879,28.780071,-9.579445,17.037575,-5.0596495,11.417667,-10.249911,-0.66177297,-1.6046336,-1.444179,-0.45833707
-281.80344,102.95509,6.3613763,23.419197,-8.978009,21.914661,4.043493,19.882719,2.161872,10.872135,-0.6579939,-3.1144156,-1.3363707
