0,1,2,3,4,5,6,7,8,9,10,11
0.30600905,-0.13094153,-0.13659048,0.27465218,-0.12506881,-0.30642998,-0.006919841,-0.23810835,0.47629985,1.6725328,0.6882376,-0.37517303
0.22071607,-1.5587857,0.29817244,0.3838815,-0.11289597,-0.18044926,-0.94918853,-0.42085585,0.6085564,-0.42007384,-0.3004427,-0.51222575
0.65420973,-0.51126325,0.083829805,0.062067196,1.3999889,0.03505817,-2.0026956,-0.510468,0.6161999,1.9537134,-0.1385214,-1.2429099
-0.86774534,2.4444034,1.1223353,1.6005963,1.1814233,-1.7642682,-0.7073726,-1.5822791,0.008984432,-0.9133008,1.863235,-0.958802
-0.14061564,-0.14252315,0.45048225,-0.17259517,-0.8223171,-0.0932274,-0.21588919,-0.68400854,0.19559066,0.9998902,-0.021864016,-1.3629571
-1.586594,-0.74522907,1.3338355,3.4467216,1.9156163,0.7325841,0.42718875,-0.078860536,0.18268894,0.6073368,-0.064606935,-0.71491396
-0.34945107,1.2191143,0.25046209,1.0947584,0.8521855,-1.8404433,0.5354936,0.18351248,0.8214043,0.45789602,-0.35296115,-0.59421355
-1.2915465,1.353756,0.9818112,-0.6537432,0.0887717,-1.8636734,0.54815847,-0.41111535,0.04147929,-0.34239334,-0.38291985,-1.4950243
0.29800498,-0.39457786,-0.91426617,-0.1704605,1.1945406,1.5774587,1.1013207,1.1322492,1.0882242,0.0954512,0.23161618,2.2299511
-0.79843056,-0.06484897,1.5735773,1.5725086,1.1725986,-0.45655853,0.24424648,0.15688469,-0.5999827,-0.089386836,-0.44575372,-1.7008635
0.13918181,-0.9642963,-0.4656066,-0.58789724,-1.353193,0.4513238,2.1343744,0.49736047,0.2634488,1.1012927,2.467362,1.3915389
0.99357146,1.5931462,-0.3185203,-1.0368248,-0.18445127,-1.2998747,-1.5805858,-1.0274376,-1.5384586,-0.16487618,-1.6570214,-0.937916
-0.6597766,-0.18130246,-1.3235651,-0.9603991,-0.053717636,-0.3841475,-0.17945911,-0.77898383,0.54887617,-0.30599663,-0.9080338,-0.40814504
-1.7408779,-1.2761177,-0.2534356,-0.5858819,0.9723624,0.34416232,0.8431473,1.1678187,-1.607283,0.89281416,0.5364851,0.11390238
1.7997047,0.59005296,0.7053876,1.8249965,-0.5941509,-0.23474391,-0.73454577,1.0387125,1.8495648,-0.33262435,-0.7869113,-0.6060697
-1.801408,-0.78231514,1.0033562,0.79951173,2.4791102,0.41206107,-0.1928824,-0.26378706,0.5844873,-0.34701404,-1.0685121,0.79408145
0.20923786,-0.13742472,0.4428345,0.45737603,-0.9641312,0.0660441,0.010957336,-1.2002729,0.040800247,0.46818116,-0.41699162,1.1199888
-0.11700032,-0.91626805,0.18520215,0.78556645,-0.09495913,-0.049116828,0.2651188,0.3922977,1.6458508,3.0443985,1.1571122,0.8409017
-0.17029953,-1.7647296,-1.1756855,-0.06614408,-0.13334829,0.9778221,0.39756596,0.5380631,1.0883212,1.8253667,0.86847985,0.72255427
1.0192384,-0.71221495,1.2509356,1.6279838,0.8980964,1.7042878,-0.65802246,0.19532688,-0.06349817,-0.6981402,0.6035369,0.6089348
0.39259544,1.3096708,0.8903728,0.26686895,-0.4624796,-0.5744805,-0.2902067,-1.0281426,-2.1805108,-1.0722661,-0.17338833,-2.0023992
0.44918913,0.92643195,-0.5313476,-0.534634,0.24520165,0.7167976,-0.8648902,-0.65534484,1.1031641,-0.5021698,0.5154405,0.08892499
0.85428673,0.114865325,-0.3025464,-0.22492388,-1.1056752,-1.3546534,-0.96704113,0.9827195,2.1691537,0.9690824,-0.64811254,-0.5004767
0.102373645,1.110893,1.2269262,1.794558,0.5910503,-0.2944535,0.49000812,1.6939287,1.3357499,-0.2956129,-0.7314763,-0.9327959
1.280714,0.54943496,0.341305,1.2849255,1.345279,-0.74843484,-0.90201896,0.6999545,-1.2271805,-0.47624025,-0.620796,-0.97631687
1.0418466,-0.82125276,-0.447699,1.058128,0.36484966,1.7954056,0.61605215,-0.0077128266,-0.29572195,-0.6867209,0.12467465,0.46561506
-0.91421604,0.35256863,2.170845,2.0541823,0.8492707,-0.022776647,-1.6147637,-1.1423779,-0.79317915,0.65232235,1.0794829,1.3074391
-1.8828713,0.0612735,-0.015669635,-0.7851152,0.8454833,-1.4405843,-1.2589744,-0.95957136,-2.1754398,0.010978572,0.42184946,-0.6040369
-0.12421445,-0.53556573,0.56299764,0.67655677,-0.69978535,-0.4207107,-1.0781636,-2.401488,-0.91449887,0.50957674,0.26886654,-0.43030503
-1.1409202,-1.0563992,1.813529,1.4154392,0.80712354,1.0387485,0.3239358,-0.2560087,0.027512373,0.90562254,0.40516713,1.2670116
1.2211909,1.6356196,1.0981568,1.0610876,1.5502219,2.1614027,1.4927198,-0.29969656,-0.93549734,-1.2971293,-1.2911472,-0.9968357
0.43846902,0.96208495,0.9273855,1.0038002,1.1047626,-0.13254389,-0.9115253,0.2626057,-1.6129009,0.3354103,1.4178036,0.40527827
-0.0114127025,-0.08687595,-0.59403867,-1.0623732,-0.10573572,0.2828278,-1.4124255,-0.8671629,-0.37860844,1.122689,0.9033553,-0.12021253
-0.7908645,-0.08884854,-0.05912554,0.3458524,0.22030658,0.8842392,1.2220631,1.2167631,0.47158128,-0.9457984,-0.39724186,-0.8277141
-0.32413235,-0.014709383,0.44476715,0.8918938,1.4019077,0.9787081,-0.08151245,0.5006345,-0.86658853,-0.88465863,-1.4467735,-0.09924093
-0.034352288,1.3067312,1.2552669,-0.8138272,-0.8109539,1.6077474,0.48158586,0.32474765,-0.7327087,0.18029812,-0.6954226,-0.9440926
